Producto,Canal,Ubicacion,Fecha,Cantidad
CREMA ACIDA 25 GR DE GRASA 900 ML,default,GEPP,01/01/2022,291.6
CREMA ACIDA 25 GR DE GRASA 900 ML,default,GOBIERNO,01/01/2022,918
CREMA ACIDA 25 GR DE GRASA 900 ML,default,MAYOREO,01/01/2022,144238.5
CREMA ACIDA 25 GR DE GRASA 900 ML,default,OTROS,01/01/2022,3515.4
CREMA ACIDA 25 GR DE GRASA 900 ML,default,PROXIMIDAD,01/01/2022,33517.8
CREMA ACIDA 25 GR DE GRASA 900 ML,default,TIENDAS,01/01/2022,909.9
CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT,default,AUTOSERVICIOS,01/01/2022,0
CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT,default,B2B,01/01/2022,0
CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT,default,CLUB DE PRECIOS,01/01/2022,21424
CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT,default,DETALLE,01/01/2022,134862
CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT,default,DISTRIBUIDORES,01/01/2022,16805
CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT,default,E-COMMERCE,01/01/2022,272
CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT,default,FOOD SERVICE,01/01/2022,28538
CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT,default,GOBIERNO,01/01/2022,0
CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT,default,MAYOREO,01/01/2022,50312
CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT,default,OTROS,01/01/2022,368
CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT,default,PROXIMIDAD,01/01/2022,32
CREMA ACIDA 25 GR DE GRASA CUBETA 4 LT,default,TIENDAS,01/01/2022,1608
CREMA ACIDA 426 ML,default,AUTOSERVICIOS,01/01/2022,0
CREMA ACIDA 426 ML,default,CLUB DE PRECIOS,01/01/2022,0
CREMA ACIDA 426 ML,default,DETALLE,01/01/2022,0
CREMA ACIDA 426 ML,default,DISTRIBUIDORES,01/01/2022,0
CREMA ACIDA 426 ML,default,E-COMMERCE,01/01/2022,0
CREMA ACIDA 426 ML,default,FOOD SERVICE,01/01/2022,0
CREMA ACIDA 426 ML,default,GEPP,01/01/2022,0
CREMA ACIDA 426 ML,default,GOBIERNO,01/01/2022,0
CREMA ACIDA 426 ML,default,MAYOREO,01/01/2022,0
CREMA ACIDA 426 ML,default,OTROS,01/01/2022,0
CREMA ACIDA 426 ML,default,PROXIMIDAD,01/01/2022,0
CREMA ACIDA 426 ML,default,TIENDAS,01/01/2022,0
CREMA ACIDA BAJA EN GRASA 200M,default,AUTOSERVICIOS,01/01/2022,23926.2
CREMA ACIDA BAJA EN GRASA 200M,default,DETALLE,01/01/2022,3338.8
CREMA ACIDA BAJA EN GRASA 200M,default,DISTRIBUIDORES,01/01/2022,81.6
CREMA ACIDA BAJA EN GRASA 200M,default,E-COMMERCE,01/01/2022,137.2
CREMA ACIDA BAJA EN GRASA 200M,default,FOOD SERVICE,01/01/2022,84.6
CREMA ACIDA BAJA EN GRASA 200M,default,GOBIERNO,01/01/2022,21.6
CREMA ACIDA BAJA EN GRASA 200M,default,MAYOREO,01/01/2022,1225.2
CREMA ACIDA BAJA EN GRASA 200M,default,OTROS,01/01/2022,36.4
CREMA ACIDA BAJA EN GRASA 200M,default,PROXIMIDAD,01/01/2022,98.4
CREMA ACIDA BAJA EN GRASA 200M,default,TIENDAS,01/01/2022,49
CREMA ACIDA BAJA EN GRASA 450M,default,AUTOSERVICIOS,01/01/2022,55637.55
CREMA ACIDA BAJA EN GRASA 450M,default,DETALLE,01/01/2022,8490.15
CREMA ACIDA BAJA EN GRASA 450M,default,DISTRIBUIDORES,01/01/2022,172.8
CREMA ACIDA BAJA EN GRASA 450M,default,E-COMMERCE,01/01/2022,719.1
CREMA ACIDA BAJA EN GRASA 450M,default,FOOD SERVICE,01/01/2022,357.75
CREMA ACIDA BAJA EN GRASA 450M,default,GOBIERNO,01/01/2022,64.8
CREMA ACIDA BAJA EN GRASA 450M,default,MAYOREO,01/01/2022,2551.95
CREMA ACIDA BAJA EN GRASA 450M,default,OTROS,01/01/2022,19.8
CREMA ACIDA BAJA EN GRASA 450M,default,PROXIMIDAD,01/01/2022,241.2
CREMA ACIDA BAJA EN GRASA 450M,default,TIENDAS,01/01/2022,140.4
CREMA ACIDA BAJA EN GRASA 900M,default,AUTOSERVICIOS,01/01/2022,36298.8
CREMA ACIDA BAJA EN GRASA 900M,default,DETALLE,01/01/2022,117.9
CREMA ACIDA BAJA EN GRASA 900M,default,DISTRIBUIDORES,01/01/2022,86.4
CREMA ACIDA BAJA EN GRASA 900M,default,E-COMMERCE,01/01/2022,0
CREMA ACIDA BAJA EN GRASA 900M,default,FOOD SERVICE,01/01/2022,57.6
CREMA ACIDA BAJA EN GRASA 900M,default,GOBIERNO,01/01/2022,32.4
CREMA ACIDA BAJA EN GRASA 900M,default,MAYOREO,01/01/2022,720
CREMA ACIDA BAJA EN GRASA 900M,default,OTROS,01/01/2022,485.1
CREMA ACIDA BAJA EN GRASA 900M,default,PROXIMIDAD,01/01/2022,0
CREMA ACIDA BAJA EN GRASA 900M,default,TIENDAS,01/01/2022,108
CREMA ACIDA SELECTA 426 ML,default,AUTOSERVICIOS,01/01/2022,0
CREMA ACIDA SELECTA 426 ML,default,DETALLE,01/01/2022,0
CREMA ACIDA SELECTA 426 ML,default,DISTRIBUIDORES,01/01/2022,0
CREMA ACIDA SELECTA 426 ML,default,E-COMMERCE,01/01/2022,0
CREMA ACIDA SELECTA 426 ML,default,FOOD SERVICE,01/01/2022,0
CREMA ACIDA SELECTA 426 ML,default,GOBIERNO,01/01/2022,0
CREMA ACIDA SELECTA 426 ML,default,MAYOREO,01/01/2022,0
CREMA ACIDA SELECTA 426 ML,default,OTROS,01/01/2022,0
CREMA ACIDA SELECTA 426 ML,default,PROXIMIDAD,01/01/2022,0
CREMA ACIDA SELECTA 426 ML,default,TIENDAS,01/01/2022,0
CREMA CRRCO 200 ML,default,OTROS,01/01/2022,0
CREMA CRRCO 450 ML,default,MAYOREO,01/01/2022,0
CREMA CRRCO 450 ML,default,OTROS,01/01/2022,10.35
CREMA CRUDA GRANEL 40,default,B2B,01/01/2022,10339.4
CREMA CRUDA GRANEL 40,default,OTROS,01/01/2022,0
CREMA DESLACTOSADA 200ML,default,AUTOSERVICIOS,01/01/2022,43408.8
CREMA DESLACTOSADA 200ML,default,DETALLE,01/01/2022,27773.4
CREMA DESLACTOSADA 200ML,default,DISTRIBUIDORES,01/01/2022,252
CREMA DESLACTOSADA 200ML,default,E-COMMERCE,01/01/2022,0
CREMA DESLACTOSADA 200ML,default,FOOD SERVICE,01/01/2022,477.4
CREMA DESLACTOSADA 200ML,default,GOBIERNO,01/01/2022,63.6
CREMA DESLACTOSADA 200ML,default,MAYOREO,01/01/2022,4032
CREMA DESLACTOSADA 200ML,default,OTROS,01/01/2022,263.8
CREMA DESLACTOSADA 200ML,default,PROXIMIDAD,01/01/2022,880.4
CREMA DESLACTOSADA 200ML,default,TIENDAS,01/01/2022,76.4
CREMA DESLACTOSADA 450ML,default,AUTOSERVICIOS,01/01/2022,198597.15
CREMA DESLACTOSADA 450ML,default,DETALLE,01/01/2022,69470.55
CREMA DESLACTOSADA 450ML,default,DISTRIBUIDORES,01/01/2022,1061.55
CREMA DESLACTOSADA 450ML,default,E-COMMERCE,01/01/2022,1687.5
CREMA DESLACTOSADA 450ML,default,FOOD SERVICE,01/01/2022,608.4
CREMA DESLACTOSADA 450ML,default,GOBIERNO,01/01/2022,248.4
CREMA DESLACTOSADA 450ML,default,MAYOREO,01/01/2022,12067.65
CREMA DESLACTOSADA 450ML,default,OTROS,01/01/2022,39.15
CREMA DESLACTOSADA 450ML,default,PROXIMIDAD,01/01/2022,859.05
CREMA DESLACTOSADA 450ML,default,TIENDAS,01/01/2022,203.4
CREMA DESLACTOSADA 900 ML,default,AUTOSERVICIOS,01/01/2022,61479
CREMA DESLACTOSADA 900 ML,default,CLUB DE PRECIOS,01/01/2022,9169.2
CREMA DESLACTOSADA 900 ML,default,DETALLE,01/01/2022,131.4
CREMA DESLACTOSADA 900 ML,default,DISTRIBUIDORES,01/01/2022,0
CREMA DESLACTOSADA 900 ML,default,FOOD SERVICE,01/01/2022,54.9
CREMA DESLACTOSADA 900 ML,default,GOBIERNO,01/01/2022,43.2
CREMA DESLACTOSADA 900 ML,default,MAYOREO,01/01/2022,55.8
CREMA DESLACTOSADA 900 ML,default,OTROS,01/01/2022,2191.5
CREMA DESLACTOSADA 900 ML,default,PROXIMIDAD,01/01/2022,0
CREMA DESLACTOSADA 900 ML,default,TIENDAS,01/01/2022,99
CREMA ENT PAST ACIDA 426 ML PQ C/24,default,CLUB DE PRECIOS,01/01/2022,0
CREMA ENT PAST ACIDA 945ML WM,default,AUTOSERVICIOS,01/01/2022,0
