*DmdUnit,*DmdGroup,*Loc,*HistStream,Dur,*Event,Qty,*StartDate,*Type,U_CLASE_ABC,Marca,Retornabilidad,U_SUB_TERRITORIO,U_TERRITORIO,U_ZONA,U_ESTATUS,U_ACTIVO
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,131,08/04/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,57,15/04/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,118,22/04/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,98,29/04/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,114,06/05/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,193,13/05/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,Cleanse History,97.5,13/05/2024,2,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,87,20/05/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,70,27/05/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,86,03/06/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,111,10/06/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,88,17/06/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,99,24/06/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,152,01/07/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,75,08/07/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,125,15/07/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,99,22/07/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,73,29/07/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,154,05/08/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,76,12/08/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,98,19/08/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3207,ORDERS,7D,AGGREGATED WEEKLY,107,26/08/2024,1,C,Coca-Cola Light,NR,Piedras Negras,Piedras Negras,Noreste,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,27,01/01/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,18,08/01/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,36,15/01/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,19,22/01/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,22,29/01/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,16,05/02/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,15,12/02/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,25,19/02/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,36,26/02/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,35,04/03/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,25,11/03/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,29,18/03/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,38,25/03/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,23,01/04/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,26,08/04/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,30,15/04/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,25,22/04/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,32,29/04/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,18,06/05/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,37,13/05/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,28,20/05/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,34,27/05/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,46,03/06/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,Cleanse History,16.33333333,03/06/2024,2,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,28,10/06/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
BMX_1727,BMX_AUTOSERVICIOS,BMX_3402,ORDERS,7D,AGGREGATED WEEKLY,24,17/06/2024,1,C,Coca-Cola Light,NR,Hermosillo,Hermosillo,Pacifico,L,A
