*DmdUnit,*DmdGroup,*Loc,*StartDate,Qty,*Event
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,20/06/2022,596,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,27/06/2022,646,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/07/2022,1008,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,04/07/2022,286,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,11/07/2022,865,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,18/07/2022,1003,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,18/07/2022,266,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/07/2022,1053,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,25/07/2022,316,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/08/2022,846,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,01/08/2022,109,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,08/08/2022,736,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,15/08/2022,798,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,22/08/2022,781,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,29/08/2022,974,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,05/09/2022,804,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,12/09/2022,725,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,19/09/2022,675,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,26/09/2022,910,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,03/10/2022,819,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,10/10/2022,631,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,17/10/2022,614,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,24/10/2022,614,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,31/10/2022,668,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,07/11/2022,607,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,14/11/2022,550,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,21/11/2022,59,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,21/11/2022,-564.3333333,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/11/2022,1057,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,28/11/2022,433.6666667,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,05/12/2022,968,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,12/12/2022,900,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,12/12/2022,257.8333333,Cleanse History
BMX_1727,BMX_AUTOSERVICIOS,BMX_3001,19/12/2022,532,AGGREGATED WEEKLY
