*DmdUnit,*DmdGroup,*Loc,*StartDate,Qty,*Event
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,11/03/2024,108,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,18/03/2024,112,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,25/03/2024,106,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,01/04/2024,105,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,08/04/2024,142,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,15/04/2024,117,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,22/04/2024,135,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,29/04/2024,120,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,06/05/2024,154,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,13/05/2024,159,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,20/05/2024,154,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,27/05/2024,211,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,03/06/2024,136,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,10/06/2024,119,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,17/06/2024,178,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,24/06/2024,87,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,01/07/2024,139,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,08/07/2024,126,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,15/07/2024,120,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,22/07/2024,112,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,29/07/2024,87,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,05/08/2024,111,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,12/08/2024,93,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,19/08/2024,136,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,26/08/2024,212,AGGREGATED WEEKLY
BMX_1727,BMX_AUTOSERVICIOS,BMX_3931,26/08/2024,102.1666667,Cleanse History
BMX_1727,BMX_HOGAR,BMX_3001,01/01/2024,3,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,08/01/2024,20,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,15/01/2024,15,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,22/01/2024,7,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,29/01/2024,13,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,05/02/2024,6,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,12/02/2024,7,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,19/02/2024,12,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,26/02/2024,31,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,04/03/2024,24,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,11/03/2024,21,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,18/03/2024,18,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,25/03/2024,12,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,01/04/2024,7,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,08/04/2024,9,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,15/04/2024,14,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,15/04/2024,1,Cleanse History
BMX_1727,BMX_HOGAR,BMX_3001,22/04/2024,17,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,22/04/2024,4,Cleanse History
BMX_1727,BMX_HOGAR,BMX_3001,29/04/2024,12,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,06/05/2024,12,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,13/05/2024,29,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,13/05/2024,16,Cleanse History
BMX_1727,BMX_HOGAR,BMX_3001,20/05/2024,8,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,27/05/2024,8,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,03/06/2024,1,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,10/06/2024,6,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,17/06/2024,12,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,24/06/2024,15,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,08/07/2024,4,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,15/07/2024,8,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,22/07/2024,3,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,29/07/2024,6,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,05/08/2024,7,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,12/08/2024,37,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,19/08/2024,13,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3001,26/08/2024,14,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,01/01/2024,36,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,08/01/2024,32,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,15/01/2024,39,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,22/01/2024,45,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,29/01/2024,32,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,05/02/2024,53,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,12/02/2024,42,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,19/02/2024,27,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,26/02/2024,40,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,04/03/2024,31,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,11/03/2024,33,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,18/03/2024,38,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,25/03/2024,30,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,01/04/2024,40,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,08/04/2024,29,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,15/04/2024,30,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,22/04/2024,44,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,29/04/2024,26,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,29/04/2024,-10.33333333,Cleanse History
BMX_1727,BMX_HOGAR,BMX_3203,06/05/2024,26,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,06/05/2024,-10.33333333,Cleanse History
BMX_1727,BMX_HOGAR,BMX_3203,13/05/2024,32,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,20/05/2024,61,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,20/05/2024,22.5,Cleanse History
BMX_1727,BMX_HOGAR,BMX_3203,27/05/2024,35,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,03/06/2024,60,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,03/06/2024,20.66666667,Cleanse History
BMX_1727,BMX_HOGAR,BMX_3203,10/06/2024,48,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,17/06/2024,42,AGGREGATED WEEKLY
BMX_1727,BMX_HOGAR,BMX_3203,24/06/2024,35,AGGREGATED WEEKLY
