Producto,Desc_Producto,Familia_Producto,Categoria,Segmentacion_Producto,Ubicacion,Desc_Ubicacion,Origen_Abasto,OverrideClasificacionABCD,Override_Min_Politica_Inventarios,Override_Max_Politica_Inventarios,Medida_Override,Tipo_Override,MargenUnitario,LeadTime_Abasto_Dias,Frecuencia_Revision_Dias,Fill_Rate,MOQ,Tamano_Lote,Unidades_Pallet,Costo_Unidad,Tolerancia_Vida_Util_Dias,Vida_Util_Dias,Unidad_Medida_UOM,Presentacion,Desc_Empaque_UOM_Base,Unidades_Empaque,Cantidad_Demanda_Indirecta,Nivel_OA
1818,ZAPATO CDA D001 VINO 25,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
1816,ZAPATO CDA D001 VINO 25.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
1817,ZAPATO CDA D001 VINO 26,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
1819,ZAPATO CDA D001 VINO 26.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
1820,ZAPATO CDA D001 VINO 27,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,329.5,0,0,,PAR,PAR,,,
2476,ZAPATO CDA D002 CORAL 23,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,389.5,0,0,,PAR,PAR,,,
2477,ZAPATO CDA D002 CORAL 23.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,389.5,0,0,,PAR,PAR,,,
2478,ZAPATO CDA D002 CORAL 24,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,389.5,0,0,,PAR,PAR,,,
2479,ZAPATO CDA D002 CORAL 24.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,389.5,0,0,,PAR,PAR,,,
2480,ZAPATO CDA D002 CORAL 25,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,389.5,0,0,,PAR,PAR,,,
2481,ZAPATO CDA D002 CORAL 25.5,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,389.5,0,0,,PAR,PAR,,,
2482,ZAPATO CDA D002 CORAL 26,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,389.5,0,0,,PAR,PAR,,,
2234,ZAPATO CDA D002 MARINO 22,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,339.5,0,0,,PAR,PAR,,,
2235,ZAPATO CDA D002 MARINO 22.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,339.5,0,0,,PAR,PAR,,,
2236,ZAPATO CDA D002 MARINO 23,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,369.5,0,0,,PAR,PAR,,,
2237,ZAPATO CDA D002 MARINO 23.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,369.5,0,0,,PAR,PAR,,,
2238,ZAPATO CDA D002 MARINO 24,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,369.5,0,0,,PAR,PAR,,,
2239,ZAPATO CDA D002 MARINO 24.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,369.5,0,0,,PAR,PAR,,,
2240,ZAPATO CDA D002 MARINO 25,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,369.5,0,0,,PAR,PAR,,,
2355,ZAPATO CDA D002 MARINO 25.5,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,369.5,0,0,,PAR,PAR,,,
2356,ZAPATO CDA D002 MARINO 26,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,1,1,1,369.5,0,0,,PAR,PAR,,,
2063,ZAPATO CDA D002 NARANJA 22,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,329.5,0,0,,PAR,PAR,,,
2064,ZAPATO CDA D002 NARANJA 22.5,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,329.5,0,0,,PAR,PAR,,,
2065,ZAPATO CDA D002 NARANJA 23,Slow Mover,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,329.5,0,0,,PAR,PAR,,,
2066,ZAPATO CDA D002 NARANJA 23.5,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,329.5,0,0,,PAR,PAR,,,
2067,ZAPATO CDA D002 NARANJA 24,ND,ZAPATOS,ACTIVO,3,ESCOBEDO,,,,,,,1,1,14,0.8,0,1,1,329.5,0,0,,PAR,PAR,,,
